day,day_start,baseline,threshold_value,n_events,median_duration_min,iqr_duration_min
2021-07-24,2021-07-24 00:00:00-06:00,10.59,15.885,0,,
2021-07-25,2021-07-25 00:00:00-06:00,10.37188888888889,15.557833333333335,1,14.0,0.0
2021-07-26,2021-07-26 00:00:00-06:00,10.0,15.0,0,,
2021-07-27,2021-07-27 00:00:00-06:00,10.0,15.0,0,,
2021-07-28,2021-07-28 00:00:00-06:00,10.0,15.0,0,,
2021-07-29,2021-07-29 00:00:00-06:00,10.0,15.0,0,,
2021-07-30,2021-07-30 00:00:00-06:00,10.0,15.0,0,,
2021-07-31,2021-07-31 00:00:00-06:00,10.0,15.0,0,,
2021-08-01,2021-08-01 00:00:00-06:00,10.0,15.0,0,,
2021-08-02,2021-08-02 00:00:00-06:00,10.0,15.0,0,,
2021-08-03,2021-08-03 00:00:00-06:00,10.0,15.0,0,,
2021-08-04,2021-08-04 00:00:00-06:00,10.0,15.0,0,,
2021-08-05,2021-08-05 00:00:00-06:00,10.0,15.0,0,,
2021-08-06,2021-08-06 00:00:00-06:00,10.0,15.0,1,392.0833333333333,0.0
2021-08-07,2021-08-07 00:00:00-06:00,10.0,15.0,0,,
2021-08-08,2021-08-08 00:00:00-06:00,10.0,15.0,0,,
2021-08-09,2021-08-09 00:00:00-06:00,10.0,15.0,0,,
2021-08-10,2021-08-10 00:00:00-06:00,10.0,15.0,0,,
2021-08-11,2021-08-11 00:00:00-06:00,12.510666666666667,18.766000000000002,0,,
2021-08-12,2021-08-12 00:00:00-06:00,11.016222222222222,16.52433333333333,0,,
2021-08-13,2021-08-13 00:00:00-06:00,10.0,15.0,0,,
2021-08-14,2021-08-14 00:00:00-06:00,10.0,15.0,11,2.0166666666666666,7.008333333333333
2021-08-15,2021-08-15 00:00:00-06:00,12.223555555555555,18.33533333333333,10,3.0,7.5
2021-08-16,2021-08-16 00:00:00-06:00,24.606666666666662,36.91,0,,
2021-08-17,2021-08-17 00:00:00-06:00,10.0,15.0,0,,
2021-08-18,2021-08-18 00:00:00-06:00,10.922222222222222,16.383333333333333,4,11.0,157.525
2021-08-19,2021-08-19 00:00:00-06:00,52.28099999999999,78.42149999999998,0,,
2021-08-20,2021-08-20 00:00:00-06:00,44.89355555555556,67.34033333333333,1,72.0,0.0
2021-08-21,2021-08-21 00:00:00-06:00,72.157,108.2355,0,,
2021-08-22,2021-08-22 00:00:00-06:00,17.29088888888889,25.936333333333337,0,,
2021-08-23,2021-08-23 00:00:00-06:00,12.01088888888889,18.016333333333336,2,37.00833333333333,35.00833333333334
2021-08-24,2021-08-24 00:00:00-06:00,11.448666666666668,17.173000000000002,0,,
2021-08-25,2021-08-25 00:00:00-06:00,11.496666666666668,17.245,3,4.0,77.01666666666667
2021-08-26,2021-08-26 00:00:00-06:00,18.368333333333336,27.552500000000002,0,,
2021-08-27,2021-08-27 00:00:00-06:00,15.791123595505619,23.68668539325843,1,718.1333333333333,0.0
2021-08-28,2021-08-28 00:00:00-06:00,82.18877777777779,123.28316666666669,0,,
